127.0.0.1 - - [27/Sep/2022:20:48:42 -0400] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [27/Sep/2022:20:48:43 -0400] "GET /HotelReservation/ HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [27/Sep/2022:20:48:43 -0400] "GET /HotelReservation/css/style.css HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [27/Sep/2022:20:48:43 -0400] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [27/Sep/2022:20:51:40 -0400] "GET /HotelReservation/login?username=1001&password= HTTP/1.1" 200 524
0:0:0:0:0:0:0:1 - - [27/Sep/2022:20:51:40 -0400] "GET /HotelReservation/css/style.css HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [27/Sep/2022:20:51:52 -0400] "GET /HotelReservation/login?username=1001&password=abcddede HTTP/1.1" 200 504
0:0:0:0:0:0:0:1 - - [27/Sep/2022:20:51:52 -0400] "GET /HotelReservation/css/style.css HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [27/Sep/2022:20:52:49 -0400] "GET /HotelReservation/login?username=1001&password=abcd HTTP/1.1" 200 1317
0:0:0:0:0:0:0:1 - - [27/Sep/2022:20:52:49 -0400] "GET /HotelReservation/css/styles.css HTTP/1.1" 200 1084
0:0:0:0:0:0:0:1 - - [27/Sep/2022:20:54:05 -0400] "GET /HotelReservation/customerDetails-form.html HTTP/1.1" 200 679
0:0:0:0:0:0:0:1 - - [27/Sep/2022:20:54:05 -0400] "GET /HotelReservation/css/style.css HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [27/Sep/2022:20:54:26 -0400] "GET /HotelReservation/customerDetails?firstname=Madhu&lastname=Kollampalli&phoneNumber=1234567891&roomType=Single HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Sep/2022:20:54:33 -0400] "GET /HotelReservation/customerDetails?firstname=Madhu&lastname=Kollampalli&phoneNumber=1234567891&roomType=Single HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Sep/2022:20:54:37 -0400] "GET /HotelReservation/customerDetails?firstname=Madhu&lastname=Kollampalli&phoneNumber=1234567891&roomType=Single HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Sep/2022:20:54:52 -0400] "GET /HotelReservation/customerDetails?firstname=Madhu&lastname=Kollampalli&phoneNumber=1234567891&roomType=Single HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Sep/2022:20:55:36 -0400] "GET /HotelReservation/customerDetails?firstname=Madhu&lastname=Kollampalli&phoneNumber=1234567891&roomType=Single HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Sep/2022:20:56:08 -0400] "GET /HotelReservation/AllReservations HTTP/1.1" 200 1335
0:0:0:0:0:0:0:1 - - [27/Sep/2022:20:56:18 -0400] "GET /HotelReservation/homePage.html? HTTP/1.1" 200 1317
0:0:0:0:0:0:0:1 - - [27/Sep/2022:20:56:20 -0400] "GET /HotelReservation/manageReservation-form.html HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [27/Sep/2022:20:56:20 -0400] "GET /HotelReservation/css/style.css HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [27/Sep/2022:20:56:23 -0400] "GET /HotelReservation/manageReservation?bookingId= HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [27/Sep/2022:20:56:23 -0400] "GET /HotelReservation/css/style.css HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [27/Sep/2022:20:56:33 -0400] "GET /HotelReservation/css/style.css HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [27/Sep/2022:20:56:43 -0400] "GET /HotelReservation/css/style.css HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [27/Sep/2022:20:56:47 -0400] "GET /HotelReservation/AllReservations HTTP/1.1" 200 1335
0:0:0:0:0:0:0:1 - - [27/Sep/2022:20:57:01 -0400] "GET /HotelReservation/css/style.css HTTP/1.1" 404 789
